,account,age,following,numVotes
423,shreenik,62 days 20:15:13.129902000,0,6
424,citysurfer,45 days 02:44:49.129902000,2,1
425,worldgaze,192 days 22:41:37.129902000,2,2
426,cdg711,20 days 13:14:10.129902000,4,44
427,joseph8,12 days 23:18:04.129902000,1,1
428,matsoe,7 days 06:26:16.129902000,1,1
429,moongazer,165 days 01:44:22.129902000,50,1
430,cryptolegendhodl,9 days 18:57:28.129902000,1,1
431,david-broekhof,7 days 01:25:43.129902000,1,6
432,shyleshm,115 days 19:07:55.129902000,17,1
433,roxie222,5 days 20:17:58.129902000,0,1
434,hellomynameis,6 days 05:23:34.129902000,1,2
435,ongke,11 days 11:43:31.129902000,1,1
436,thealchemist1234,20 days 20:41:58.129902000,2,1
437,kimbe,9 days 07:30:52.129902000,1,3
438,teenwilf6762,20 days 00:30:46.129902000,1,1
439,cryptarch,117 days 19:14:25.129902000,5,6
440,steemittd,22 days 04:05:34.129902000,1,1
441,s03ghoward,11 days 19:05:01.129902000,1,11
442,aidanj,104 days 18:24:55.129902000,13,1
443,shadowcater,20 days 16:04:07.129902000,1,5
444,igorilic,226 days 01:26:43.129902000,51,2
445,gdlesley,7 days 03:05:46.129902000,1,1
446,stoopzz,5 days 18:38:25.129902000,0,1
447,excelsis,13 days 05:48:10.129902000,4,3
448,ephialtes,6 days 12:55:43.129902000,1,3
449,bps0114,15 days 21:38:22.129902000,1,3
450,acast,10 days 13:09:37.129902000,6,1
451,tyrelh,5 days 17:54:40.129902000,0,1
452,playboy78,16 days 14:35:49.129902000,2,17
453,subtone,93 days 00:37:55.129902000,7,1
454,timeets147,5 days 21:27:22.129902000,0,1
455,dumbliauskas,6 days 02:16:07.129902000,2,1
456,gunthernow,181 days 11:36:04.129902000,8,3
457,muffinstory,13 days 06:37:04.129902000,1,3
458,gforcemax,25 days 23:18:19.129902000,1,8
459,edwardin1972,16 days 20:02:49.129902000,1,25
460,biop3rl,181 days 19:07:25.129902000,7,3
461,dmur,13 days 17:42:07.129902000,2,1
462,shinnalin,27 days 20:51:04.129902000,1,1
463,cryptomigs,23 days 16:45:40.129902000,0,2
464,julesv,11 days 23:10:28.129902000,1,7
465,gerico76,10 days 10:31:34.129902000,1,1
466,blackjokerx,17 days 05:00:40.129902000,2,2
467,simonriverarojas,27 days 20:25:31.129902000,2,2
468,kid-icarus,5 days 18:52:58.129902000,0,3
469,lawlawlaw,11 days 10:44:13.129902000,1,5
470,jayquez,7 days 14:46:43.129902000,0,11
471,nomnomcoins,82 days 16:10:31.129902000,13,2
472,tylerettner14,19 days 15:46:58.129902000,2,4
473,marz2.steemit,7 days 12:56:10.129902000,1,1
474,chymmi,39 days 14:45:52.129902000,11,1
475,kd88888,77 days 11:38:01.129902000,8,4
476,onboard1,7 days 07:56:46.129902000,2,3
477,hesate,16 days 20:33:07.129902000,2,7
478,kepaneseboy,6 days 12:37:58.129902000,3,1
479,rodniy,77 days 09:58:58.129902000,5,6
480,amassi,6 days 17:49:55.129902000,2,2
